Iteration,Element No.,Algorithm,Time
11,30000,Heapsort,0.016000
11,30000,Bubblesort,2.286000
11,30000,Shakersort,1.922000
11,30000,Insertionsort,0.508000
11,30000,Selectionsort,1.011000
12,30000,Recursive Quicksort,0.004000
12,30000,Library qsort,0.017000
12,30000,Heapsort,0.017000
12,30000,Bubblesort,2.272000
12,30000,Shakersort,1.923000
12,30000,Insertionsort,0.508000
12,30000,Selectionsort,1.011000
13,30000,Recursive Quicksort,0.004000
13,30000,Library qsort,0.017000
13,30000,Heapsort,0.017000
13,30000,Bubblesort,2.296000
13,30000,Shakersort,1.939000
13,30000,Insertionsort,0.517000
13,30000,Selectionsort,1.010000
14,30000,Recursive Quicksort,0.004000
14,30000,Library qsort,0.018000
14,30000,Heapsort,0.016000
14,30000,Bubblesort,2.280000
14,30000,Shakersort,1.927000
14,30000,Insertionsort,0.509000
14,30000,Selectionsort,1.014000
15,30000,Recursive Quicksort,0.004000
15,30000,Library qsort,0.017000
15,30000,Heapsort,0.017000
15,30000,Bubblesort,2.264000
15,30000,Shakersort,1.915000
15,30000,Insertionsort,0.506000
15,30000,Selectionsort,1.005000
16,30000,Recursive Quicksort,0.005000
16,30000,Library qsort,0.016000
16,30000,Heapsort,0.016000
16,30000,Bubblesort,2.266000
16,30000,Shakersort,1.920000
16,30000,Insertionsort,0.508000
16,30000,Selectionsort,1.007000
17,30000,Recursive Quicksort,0.004000
17,30000,Library qsort,0.017000
17,30000,Heapsort,0.015000
17,30000,Bubblesort,2.271000
17,30000,Shakersort,1.918000
17,30000,Insertionsort,0.510000
17,30000,Selectionsort,1.011000
18,30000,Recursive Quicksort,0.005000
18,30000,Library qsort,0.016000
18,30000,Heapsort,0.016000
18,30000,Bubblesort,2.273000
18,30000,Shakersort,1.928000
18,30000,Insertionsort,0.510000
18,30000,Selectionsort,1.010000
19,30000,Recursive Quicksort,0.005000
19,30000,Library qsort,0.016000
19,30000,Heapsort,0.017000
19,30000,Bubblesort,2.265000
19,30000,Shakersort,1.918000
19,30000,Insertionsort,0.505000
19,30000,Selectionsort,1.012000
20,30000,Recursive Quicksort,0.004000
20,30000,Library qsort,0.017000
20,30000,Heapsort,0.016000
20,30000,Bubblesort,2.281000
20,30000,Shakersort,1.927000
20,30000,Insertionsort,0.509000
20,30000,Selectionsort,1.011000
21,30000,Recursive Quicksort,0.004000
21,30000,Library qsort,0.016000
21,30000,Heapsort,0.016000
