Iteration,Element No.,Algorithm,Time
17,30000,Insertionsort,0.578000
17,30000,Selectionsort,1.084000
18,30000,Recursive Quicksort,0.005000
18,30000,Library qsort,0.013000
18,30000,Heapsort,0.013000
18,30000,Bubblesort,2.624000
18,30000,Shakersort,2.153000
18,30000,Insertionsort,0.606000
18,30000,Selectionsort,1.095000
19,30000,Recursive Quicksort,0.005000
19,30000,Library qsort,0.016000
19,30000,Heapsort,0.014000
19,30000,Bubblesort,2.582000
19,30000,Shakersort,2.140000
19,30000,Insertionsort,0.578000
19,30000,Selectionsort,1.091000
20,30000,Recursive Quicksort,0.004000
20,30000,Library qsort,0.014000
20,30000,Heapsort,0.014000
20,30000,Bubblesort,2.553000
20,30000,Shakersort,2.144000
20,30000,Insertionsort,0.609000
20,30000,Selectionsort,1.062000
21,30000,Recursive Quicksort,0.004000
21,30000,Library qsort,0.014000
21,30000,Heapsort,0.014000
21,30000,Bubblesort,2.551000
21,30000,Shakersort,2.149000
21,30000,Insertionsort,0.606000
21,30000,Selectionsort,1.091000
22,30000,Recursive Quicksort,0.005000
22,30000,Library qsort,0.013000
22,30000,Heapsort,0.014000
22,30000,Bubblesort,2.587000
22,30000,Shakersort,2.137000
22,30000,Insertionsort,0.582000
22,30000,Selectionsort,1.062000
23,30000,Recursive Quicksort,0.004000
23,30000,Library qsort,0.015000
23,30000,Heapsort,0.016000
23,30000,Bubblesort,2.610000
23,30000,Shakersort,2.156000
23,30000,Insertionsort,0.576000
23,30000,Selectionsort,1.085000
24,30000,Recursive Quicksort,0.005000
24,30000,Library qsort,0.014000
24,30000,Heapsort,0.016000
24,30000,Bubblesort,2.583000
24,30000,Shakersort,2.161000
24,30000,Insertionsort,0.588000
24,30000,Selectionsort,1.079000
25,30000,Recursive Quicksort,0.005000
25,30000,Library qsort,0.014000
25,30000,Heapsort,0.014000
25,30000,Bubblesort,2.596000
25,30000,Shakersort,2.143000
25,30000,Insertionsort,0.593000
25,30000,Selectionsort,1.073000
1,40000,Recursive Quicksort,0.006000
1,40000,Library qsort,0.019000
1,40000,Heapsort,0.019000
1,40000,Bubblesort,4.557000
1,40000,Shakersort,3.849000
1,40000,Insertionsort,1.051000
1,40000,Selectionsort,1.923000
2,40000,Recursive Quicksort,0.006000
2,40000,Library qsort,0.021000
2,40000,Heapsort,0.019000
2,40000,Bubblesort,4.540000
2,40000,Shakersort,3.893000
2,40000,Insertionsort,1.021000
2,40000,Selectionsort,1.918000
3,40000,Recursive Quicksort,0.006000
3,40000,Library qsort,0.019000
3,40000,Heapsort,0.023000
3,40000,Bubblesort,5.233000
3,40000,Shakersort,4.660000
3,40000,Insertionsort,1.319000
3,40000,Selectionsort,2.227000
4,40000,Recursive Quicksort,0.007000
4,40000,Library qsort,0.022000
4,40000,Heapsort,0.025000
4,40000,Bubblesort,5.568000
4,40000,Shakersort,4.745000
4,40000,Insertionsort,1.279000
4,40000,Selectionsort,2.258000
5,40000,Recursive Quicksort,0.007000
5,40000,Library qsort,0.022000
5,40000,Heapsort,0.025000
5,40000,Bubblesort,5.299000
5,40000,Shakersort,4.755000
5,40000,Insertionsort,1.258000
5,40000,Selectionsort,2.157000
6,40000,Recursive Quicksort,0.008000
6,40000,Library qsort,0.032000
6,40000,Heapsort,0.020000
6,40000,Bubblesort,5.488000
6,40000,Shakersort,4.848000
6,40000,Insertionsort,1.346000
6,40000,Selectionsort,2.206000
7,40000,Recursive Quicksort,0.007000
7,40000,Library qsort,0.025000
7,40000,Heapsort,0.026000
7,40000,Bubblesort,5.406000
7,40000,Shakersort,4.664000
7,40000,Insertionsort,1.269000
7,40000,Selectionsort,2.263000
8,40000,Recursive Quicksort,0.006000
8,40000,Library qsort,0.030000
